City,Latitude,Longitude
BACOLOD,10.6762,122.9513
BAGO,10.5389,122.8366
CADIZ,10.9545,123.3058
ESCALANTE,10.8412,123.4992
HIMAMAYLAN,10.1,122.87
KABANKALAN,9.9904,122.8164
LA CARLOTA,10.4253,122.9224
SAGAY,10.896,123.4154
SAN CARLOS,10.4824,123.4183
SILAY,10.7977,122.973
TALISAY,10.7372,122.9673
SIPALAY,9.75,122.4019
VICTORIAS,10.8962,123.0726
